indexHash,2,1
None,None
None,None
143,78
None,None
None,None
134,80
None,None
226,45
561,85
None,None
710,4
564,93
182,6
558,8
567,70
672,36
119,14
776,95
471,33
990,20
996,18
986,31
135,43
198,96
820,3
657,62
208,38
763,79
510,77
487,100
326,83
None,None
None,None
782,89
188,34
None,None
None,None
124,66
None,None
None,None
120,41
None,None
659,17
982,39
229,13
815,61
494,65
441,29
604,49
592,73
950,5
652,9
711,75
745,32
903,47
166,37
169,11
431,58
419,42
772,26
147,2
739,16
380,46
160,51
864,12
544,50
993,90
887,67
709,1
719,21
726,24
325,52
829,28
957,81
384,10
477,27
760,35
433,15
977,94
942,84
303,22
546,40
767,82
518,48
457,23
316,87
906,53
896,86
359,54
386,30
916,7
609,74
565,19
148,44
333,88
341,55
158,25
992,91
634,56
648,68
420,92
527,57
170,76
637,97
689,59
None,None
636,98
943,60
None,None
294,99
354,63
None,None
None,None
284,64
None,None
None,None
283,69
None,None
None,None
875,71
None,None
None,None
498,72
